full_name,asat_in_travis,avg_warning_count,loc,warnings_per_100_loc
bower/bower,1,4798.60,10285,46.66
pyinstaller/pyinstaller,0,6734.79,18083,37.24
thoughtbot/paperclip,0,924.67,3093,29.9
numenta/nupic,0,7847.78,31163,25.18
cython/cython,0,6725.86,52787,12.74
zeromq/jeromq,1,1483.20,23621,6.28
SirVer/ultisnips,0,149.25,3469,4.3
OpenGrok/OpenGrok,0,624.57,27508,2.27
ruby-grape/grape,1,75.70,4367,1.73
Netflix/servo,1,80.02,6746,1.19
rembo10/headphones,0,139.71,12128,1.15
nnnick/Chart.js,1,69.88,6395,1.09
jashkenas/underscore,1,29.06,4336,0.67
capistrano/capistrano,1,8.25,1398,0.59
FreeCodeCamp/FreeCodeCamp,1,40.41,8087,0.5
capitalone/Hygieia,1,21.26,4726,0.45
jashkenas/backbone,1,4.45,1166,0.38
less/less.js,1,15.22,9272,0.16
gulpjs/gulp,1,1.00,719,0.14
google/auto,0,16.32,19590,0.08
gruntjs/grunt,1,1.97,3371,0.06
sass/sass,1,3.76,13104,0.03
caolan/async,1,1.13,7431,0.02
remy/nodemon,1,0.16,1657,0.01
vuejs/vue,1,2.33,18575,0.01
bumptech/glide,1,1.44,31657,0
jquery/jquery,1,0.39,31809,0
scribejava/scribejava,0,0.19,7871,0
hexojs/hexo,1,6.58,371236,0
jshint/jshint,1,0.08,8069,0
checkstyle/checkstyle,1,0.06,29808,0
select2/select2,1,0.04,17456,0
CocoaPods/CocoaPods,1,0.00,8798,0
sleekbyte/tailor,1,0.00,4663,0
requirejs/requirejs,1,0.00,181720,0
facebook/buck,1,0.00,156462,0
mongodb/morphia,1,0.00,31095,0
square/retrofit,1,0.00,7316,0
moment/moment,1,0.00,39157,0
